,Tweet,Class
898,بدعا دنیا آخرت ذلیل رسوا,0
899,مرسو مرسو بھوکے مرسو مرو مرو بھوکے مرو,0
900,پوچھیں اچھا,2
901,ٹین ایجر بچے ھوتے,2
902,ساتھ مل ہنسے رونا چاہو دلاسہ مل جائں ساتھ رونے,0
903,اسلام آباد طاہر القادری دھرنا چھوڑنے سیاست خوش آمدید کہتے رحمان ملک,2
904,راے بلاول بھٹو زرداری = بھٹو کاٹا جاے مریم نواز شریفمریم صفدر لکھتیں,1
905,چندے انقلاب تھک پکوڑے تلنا,0
906,اضافی لوڈ شیڈنگ ذمہ دار ٹھیرایا,0
907,سیاسی جماعتیں چندے چلتی البتہ فیملی لمیٹیڈ کمپنی غلام احساس شعور عاری غلام ٹھہرے,0
908,آج ملک بھر یوم عدل بسلسلہ یوم شہادت سیدنا فاروق اعظم رض مذہبی عقیدت منایا,0
909,طاہر القادری نام کیسی انوکھی داستان سنا گیاایک شخص سارے ملک ماموں بن بنا,0
910,حس حکومتیں پشت باہر ہاتھ معیشت ایم ایف سنبھال جنرل حمید گل,0
911,کراچیلیاقت آباد ٹمبرمارکیٹ آتشزدگیکئی دکانیں جل گئیں,0
912,شدید کھانسی بھائی,0
913,فی الحال لطیفہ ڈیزل باقی ہیچ آج کل,2
914,اسلام آباد خورشید شاہ بیان پرانھیں وضاحت موقع جانا چاہیے حافظ طاہر اشرفی,2
915,سرجی فون تے نیٹ سلو ای سم تے اک حوالہ کڈ لنک سینڈ واں چیکنگ پا لوو,2
916,کراچی عاشورہ محرم عزادارن کوہرممکن سہولیات فراہم رکن قومی اسمبلی محبوب عالم,2
917,شہید پاکستان عبد القادر ملا پروفیسر غلام اعظم ساتھی ملک مشرقی بازو کاٹنے بھارتی سازش مقابلہ,2
918,سن رھا ھے دیکھ رھی ھو ں,2
919,رسول اللہﷺ اخلاق گر آدمی منہ کرکے بات کرتاتو متوجہ فارغ ہوکروہی آدمی چہرہ پھیرلیتا,2
920,متوجہ شکریہ ڈایلاگ,2
921,مزید جاننے لنک پہ,1
922,تنہا زندگی جینے مزہ خوشی غم,2
923,ہوشیار خبردار شھباز شریف چھوٹے بیٹے سلمان شھباز درد ناک دلخراش سکینڈل منظر عام پہ آگیا واہیات ناسور,0
924,جیو نیوز مسلسل گھنٹے افواج پاکستان ایس کیچڑ اچھالتا پیمرا چئیرمین سارا,0
925,لاہور بادامی باغ مردہ جانوروں گوشت پکڑا افراد گرفتارلاہورتاندلیانوالہ نیوز لاہور مردہ,0
926,دریا خاموش تھاجن بلا چاہتا تھاان طعنے سنتا تھادنیا,2
927,بہرحال حقیقت پتا جاری رکھیں,2
928,بنے نیا پاکستان ملک نام نہاد وارثوں خوش,0
929,لاہور دور حکومت ادویات مفت ملتی چودھری پرویز الہی,2
930,محمد ﷺ فرمایا جسکا مفہوم نبی عمر سیدنا عمر فاروق,2
931,چندے پیسٹریاں خریدی,2
932,چینل ٹائم چینل بتا دیکھ,2
933,وزیر اعلی یقین دہانی کرائی حکومت جرائم قابو پانے کیلئے وسائل بروئے کار,2
934,محکمہ موسمیات کیمطابق بحیرہ عرب کم دباؤ مزید شدت آرہی امکان آئندہ گھنٹوں سمندری طوفان تبدیل ہوجائے,0
935,پختگی میچورٹی ضرورت جسم ذہین درکار ہےکہ جسم عمر ساتھ ساتھ فطری انداز,2
936,چھوٹا بھائی صدمہ جلد نحوست بھرا فیصلہ,0
937,ریلوے شیخ بحال لال مسجد پہ ڈالتے ھو ھو اچھے کام پہ ڈالتے,0
938,بریکنگ دھرنوں روزانہ اخراجات کروڑوں روپے وجہ پارٹی فنڈز ختم,0
939,ویسے پراسرار پراسرار ڈائنیں,0
940,دبئی آسٹریلیا خلاف پاکستان پہلی وکٹگرگئیمحمد حفیﻆ بغیرکوئی رن بنائے آؤٹ,0
941,ورلڈ کپ جیتامیں ہسپتال بنایامیں سیاسی پارٹی بنائیمیں کنٹینر سیاست شروع کیمیں چندہ ٹیکنالوجی بام عروج پہنچایا,2
942,بریکنگ کراچیایدھی سنٹر ڈکیتی مرکزی ملزم مظہرکی نشاندہی پولیس چھاپے,0
943,شرمندہ مت کیجیے جناب,0
944,جہانگیرترینخورشیدقصوریاعظم سواتی پارٹی لگتا فقیر پی ٹی مانگنا عادت بس,0
945,دھرنے اچھا کامیابی ورنہ,2
946,سستی بجلی عوام جائز مطالبہ نواز شریف عوام جائز مطالبات چاہیے اللہ اختیار تقدیر بدلے,2
947,دہشتگردی جاں بحق گریڈ اوپر ملازمین اہلخانہ کروڑ روپے امداد ملے,2
948,ٹریفک چوک تلہ گنگ نام غازی میاں محمد شہید چوکجسے بھول تلہ گنگشہر معروف ترین چوک ٹریفک چوک کانام,0
949,روندے نوں ھسایا ای تے دس خاں پکھے نوں رجایا اع تے دس خاں راہ وچ پے روڑے نوں ھٹایا ای تے دس خاں پھٹ نوں سیتا ای تے دس خاں,0
950,منافق تین نشانیاں بات توجھوٹ بولے وعدہ تواس خلاف ورزی امانت رکھوائی تواس خیانت بخاری,0
951,احتجاج احتجاج احتجاج مہاجر قوم نسلوں بقا کیلئے گھروں باہر نکلیں کلیم الطافی~,0
952,لفظ مہاجر توہین خورشید شاہ سمیت پیپلز پارٹی رہنما رسوا ندیم احسان,0
953,جان ابھیمان پرنتو ابھیمان جان,0
954,بیان رسوائیوں ڈرتا,0
955,کینیڈا پارلیمنٹ فائرنگ ویڈیو جاری کینیڈا پولیس پارلیمنٹ حملے ویڈیو جاری,0
956,لفظوں کنکر پھینکو جھیل گھری خاموشی ھے,0
957,شب وصال جلدی آجاوے ہور ہانڈی توجہ مرکوز کرلے گھر پتا چلے منڈا جوان گوا,2
958,خان چھوڑ بحث فائدہ,2
959,سنا دھرنے مل کوئ چرسی ھے,0
960,بریکنگ دھرنوں تحریک انصاف عوامی تحریک کنگال دیابریکنگ پارٹیاں پہلی بار مالی بحران شکار گئیں,0
961,پاکستان ٹیم گھٹیا کارکادی دیکھ شیر یاد ایا شرم نھیں اتی,0
962,چوک مانگنے فقیروں جگہ پی ٹی ورکرز کام بھیجے,0
963,لعنت نظام ٹیکسی چلانے گریجوئیٹ ضروری مگرملک چلانے شرط پارلیامنٹ ختم,0
964,اسپیکر ذاتی طور پیش تصدیق ضروری ہوائی استیفے زبردستی,0
965,قادری کشتیاں جلاکر آیاتہاکشتیاں جلائیں گہر اورسامان جلایا,0
966,ہنہ کوتاہیوں سبق فرشتے غلطیاں کنٹینرخان,0
967,حملے ہورہے بتایا گناہ مولانا فضل الرحمان,0
968,آپکی ٹوئیٹس کہنے ماشا اللہ اللہ پاک ڈھیروں اجر عطا فرمائے آمین,2
969,کام لوٹنا,0
970,عوامی تحریک چیئرمین ڈاکٹر طاہر القادری شاہراہ دستور روزہ جاری دھرنا ختم جہاں حکومت ریلیف,2
971,دبئی آسٹریلیا مزاحمت جاری میچ آخری سیشن پاکستان وکٹوں ضرورت تازہ ترین اسکور,0
972,میٹرو بس منصوبہ ارب کروڑ لاکھ روپے سالانہ خسارے چل دستاویز,0
973,لاہور انڈر ٹیم اعلان سعود سکیل کپتان برقرار,2
974,شکریہ خیر مبارک آپکو مبارک,2
975,نقصان تھوڑا غریبکا جمع پونجی کاروبا تباہ ہوااورہاتھ کہتے حکومت ملے,0
976,چیرمین تحریک انصاف عمران خان کہنا محرم الحرام باوجود اسلام آباد محرم,0
977,پاکستانی فورسز جانب کوہستان مری مختلف علاقوں عام بلوچ آبادی نشانہ بنایا معصوم بلوچوں فضائی,0
978,علامہ مشرقی طاہر القادری سفر یاد,1
979,سارے پاکستا پتا ھے پارٹیاں مل پاکستان زبردستی قابض ھیں پولیس عوام حقوق صلب جرتی ھے پیمرانیپرانادرا نو میرٹ,0
980,سیالکوٹ ہندوستانی فورسز بلا اشتعال فائرنگ پاکستان صوبہ پنجاب شہر سیالکوٹ ورکنگ,0
981,اسلام آباد ملزم ساتھی فرار ہوگیا کارکن حملہ شدید ردعمل گارشید گوڈیل,0
982,PTI لوگ گالی گلوچ اگست رات یاد چاہیے لیڈر چھوڑ بھاگ,0
983,انشا اللہ وقت سیاسی بلنڈر جوش بجائے ہوش کام,2
984,دنیا بہترین مسلم خلیفہ بچوں نصیحت مولانا طارق جمیل صاحب,2
985,تہذیب سکھاتی جینے سلیقہتعلیم جاہل جہالت دوغلے لوگوں نام,2
986,مہاجر حصے پاکستان ساتھ لیکر خواجہ اظہار الحسن العجب,2
987,پاکستان میچ جتنے کیلے تین ویکٹس ضرورت میچ ہاتھ,2
988,پاکستان معاشی حب کراچی خالد مقبول صدیقی,2
989,نئے صوبے قیام انتظامی بنیادوں پہ لسانی بنیادوں پہ,2
990,انشاء جی اٹھو کوچ شہر جی لگانا انشاء جی اٹھو کوچ شہر جی لگانا,0
991,شہید کردو طاہر القادری جی خکم تعمیل کب,2
992,پہلی بار انکل دل دکھا آہستہ آہستہ عادت جاے,0
993,چندے انقلاب جاسکتا بندے اٹھانے چپ کروایا,0
994,گھر استنجاء وضو مسجد آنااحادیث مبارکہ ثابت ھوتا ھے وضو استنجاء گھر کرکے جانا,2
995,آدمی سالار کافی معقول ٹپ,2
996,چچا غالب روح معذرت ساتھہم مانا ڈیزلمفت ہاتھ برا,2
997,واہ جناب واہ اچھی جناب خود فرشتہ سمجوں انسان,2
998,اسلام آباد پی ٹی دھرنا ختم صفائی کام آغاز روزنامہ اردو پوائنٹ,2
999,دنیا راہ وفا ساتھتم چلے چلو یوں چلی چلے,2
